length,population_size,tournaments,elitism_rate,mutation_rate
8629,150,4,90,10
8630,150,4,40,80
8636,100,7,50,50
8636,150,4,20,90
8656,150,6,10,50
8667,100,8,80,30
8672,150,3,70,20
8682,100,5,90,80
8682,150,8,20,30
8684,100,6,60,30
8690,100,2,10,40
8708,100,9,40,40
8719,100,3,30,50
8728,100,3,60,40
8728,100,3,80,70
8734,150,7,80,90
8738,150,4,10,40
8751,150,9,80,70
8763,100,9,60,10
8771,150,9,90,20
8781,150,8,60,50
8789,150,4,60,90
8790,150,9,10,70
8797,100,7,10,40
8798,100,2,30,20
8805,100,9,30,50
8813,150,3,30,50
8866,100,2,20,90
8930,150,9,60,90
8948,100,3,40,50
8949,100,5,30,50
8953,100,9,60,70
8959,100,7,30,40
8982,150,3,90,50
9051,150,2,80,60
9169,100,6,60,80
9172,100,8,90,60
9378,150,6,80,80
9388,150,2,30,20
9401,100,4,70,60
